"","Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
"result.481",5,-115,155,0,10.55
"result.482",6,-115,155,0,13.18
"result.483",7,-115,155,0,11
"result.484",8,-115,155,0,7.09
"result.485",9,-115,155,0,3
"result.486",5,-120,155,0,10.27
"result.487",6,-120,155,0,12.73
"result.488",7,-120,155,0,10.64
"result.489",8,-120,155,0,6.27
"result.490",9,-120,155,0,3
"result.491",5,-125,155,0,11.18
"result.492",6,-125,155,0,11.27
"result.493",7,-125,155,0,10.09
"result.494",8,-125,155,0,6.27
"result.495",9,-125,155,0,3
"result.496",5,-130,155,0,31.73
"result.497",6,-130,155,0,10.09
"result.498",7,-130,155,0,9.45
"result.499",8,-130,155,0,5.82
"result.500",9,-130,155,0,2.82
"result.501",5,-135,155,0,10.2
"result.502",6,-135,155,0,9.45
"result.503",7,-135,155,0,9.18
"result.504",8,-135,155,0,5.73
"result.505",9,-135,155,0,2.91
"result.506",5,-140,155,0,10.1
"result.507",6,-140,155,0,8.36
"result.508",7,-140,155,0,8.36
"result.509",8,-140,155,0,5.18
"result.510",9,-140,155,0,3.18
"result.511",5,-145,155,0,13.9
"result.512",6,-145,155,0,8
"result.513",7,-145,155,0,8.18
"result.514",8,-145,155,0,4.82
"result.515",9,-145,155,0,2.73
"result.516",5,-150,155,0,32.8
"result.517",6,-150,155,0,7.45
"result.518",7,-150,155,0,7.73
"result.519",8,-150,155,0,4.27
"result.520",9,-150,155,0,2.73
"result.521",5,-90,160,0,16.55
"result.522",6,-90,160,0,16.09
"result.523",7,-90,160,0,13.73
"result.524",8,-90,160,0,7.82
"result.525",9,-90,160,0,7.27
"result.526",5,-95,160,0,14.36
"result.527",6,-95,160,0,14.82
"result.528",7,-95,160,0,12.64
"result.529",8,-95,160,0,7.45
"result.530",9,-95,160,0,6.91
"result.531",5,-100,160,0,13.09
"result.532",6,-100,160,0,14.36
"result.533",7,-100,160,0,11.82
"result.534",8,-100,160,0,7.27
"result.535",9,-100,160,0,3.91
"result.536",5,-105,160,0,11.64
"result.537",6,-105,160,0,13.82
"result.538",7,-105,160,0,11.45
"result.539",8,-105,160,0,6.91
"result.540",9,-105,160,0,3.18
"result.541",5,-110,160,0,10.91
"result.542",6,-110,160,0,13.27
"result.543",7,-110,160,0,10.91
"result.544",8,-110,160,0,6.73
"result.545",9,-110,160,0,2.91
"result.546",5,-115,160,0,9.91
"result.547",6,-115,160,0,12.55
"result.548",7,-115,160,0,9.91
"result.549",8,-115,160,0,6.27
"result.550",9,-115,160,0,2.82
"result.551",5,-120,160,0,9.91
"result.552",6,-120,160,0,12
"result.553",7,-120,160,0,9.45
"result.554",8,-120,160,0,5.55
"result.555",9,-120,160,0,3
"result.556",5,-125,160,0,10.91
"result.557",6,-125,160,0,10.27
"result.558",7,-125,160,0,8.91
"result.559",8,-125,160,0,5.27
"result.560",9,-125,160,0,2.91
"result.561",5,-130,160,0,31.09
"result.562",6,-130,160,0,9.27
"result.563",7,-130,160,0,8.45
"result.564",8,-130,160,0,4.73
"result.565",9,-130,160,0,2.91
"result.566",5,-135,160,0,9.5
"result.567",6,-135,160,0,8.55
"result.568",7,-135,160,0,8.27
"result.569",8,-135,160,0,4.73
"result.570",9,-135,160,0,2.91
"result.571",5,-140,160,0,9.9
"result.572",6,-140,160,0,7.45
"result.573",7,-140,160,0,7.64
"result.574",8,-140,160,0,4
"result.575",9,-140,160,0,3
"result.576",5,-145,160,0,13.9
"result.577",6,-145,160,0,7.36
"result.578",7,-145,160,0,7.18
