"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
5,-150,122,0,NA
6,-150,122,0,34
7,-150,122,0,32
8,-150,122,0,40
9,-150,122,0,51
5,-90,123,0,12
6,-90,123,0,15
7,-90,123,0,19
8,-90,123,0,69
9,-90,123,0,71
5,-91,123,0,12
6,-91,123,0,15
7,-91,123,0,19
8,-91,123,0,69
9,-91,123,0,70
5,-92,123,0,12
6,-92,123,0,15
7,-92,123,0,19
8,-92,123,0,69
9,-92,123,0,70
5,-93,123,0,12
6,-93,123,0,15
7,-93,123,0,11
8,-93,123,0,69
9,-93,123,0,70
5,-94,123,0,19
6,-94,123,0,15
7,-94,123,0,11
8,-94,123,0,69
9,-94,123,0,68
5,-95,123,0,20
6,-95,123,0,15
7,-95,123,0,11
8,-95,123,0,69
9,-95,123,0,68
5,-96,123,0,21
6,-96,123,0,16
7,-96,123,0,2
8,-96,123,0,69
9,-96,123,0,68
5,-97,123,0,21
6,-97,123,0,17
7,-97,123,0,22
8,-97,123,0,68
9,-97,123,0,68
5,-98,123,0,22
6,-98,123,0,17
7,-98,123,0,22
8,-98,123,0,68
9,-98,123,0,68
5,-99,123,0,23
6,-99,123,0,17
7,-99,123,0,24
8,-99,123,0,68
9,-99,123,0,68
5,-100,123,0,23
6,-100,123,0,17
7,-100,123,0,24
8,-100,123,0,68
9,-100,123,0,68
5,-101,123,0,23
6,-101,123,0,18
7,-101,123,0,24
8,-101,123,0,68
9,-101,123,0,68
5,-102,123,0,23
6,-102,123,0,18
7,-102,123,0,28
8,-102,123,0,67
9,-102,123,0,68
5,-103,123,0,24
6,-103,123,0,20
7,-103,123,0,28
8,-103,123,0,67
9,-103,123,0,68
5,-104,123,0,24
6,-104,123,0,20
7,-104,123,0,28
8,-104,123,0,67
9,-104,123,0,68
5,-105,123,0,26
6,-105,123,0,20
7,-105,123,0,28
8,-105,123,0,67
9,-105,123,0,68
5,-106,123,0,26
6,-106,123,0,20
7,-106,123,0,28
8,-106,123,0,67
9,-106,123,0,68
5,-107,123,0,28
6,-107,123,0,20
7,-107,123,0,28
8,-107,123,0,67
9,-107,123,0,68
5,-108,123,0,28
6,-108,123,0,20
7,-108,123,0,28
8,-108,123,0,5
9,-108,123,0,68
5,-109,123,0,31
6,-109,123,0,21
7,-109,123,0,28
8,-109,123,0,5
9,-109,123,0,62
5,-110,123,0,31
6,-110,123,0,21
7,-110,123,0,28
8,-110,123,0,5
9,-110,123,0,62
5,-111,123,0,37
6,-111,123,0,21
7,-111,123,0,28
8,-111,123,0,1
9,-111,123,0,62
5,-112,123,0,40
6,-112,123,0,21
7,-112,123,0,28
8,-112,123,0,1
9,-112,123,0,62
5,-113,123,0,42
6,-113,123,0,21
7,-113,123,0,28
8,-113,123,0,2
9,-113,123,0,62
5,-114,123,0,42
6,-114,123,0,22
7,-114,123,0,29
8,-114,123,0,2
9,-114,123,0,62
5,-115,123,0,42
6,-115,123,0,22
7,-115,123,0,29
8,-115,123,0,2
9,-115,123,0,62
5,-116,123,0,43
6,-116,123,0,22
7,-116,123,0,29
8,-116,123,0,2
9,-116,123,0,62
5,-117,123,0,43
6,-117,123,0,23
7,-117,123,0,29
8,-117,123,0,8
9,-117,123,0,62
5,-118,123,0,43
6,-118,123,0,24
7,-118,123,0,29
8,-118,123,0,8
9,-118,123,0,62
5,-119,123,0,43
6,-119,123,0,24
7,-119,123,0,29
8,-119,123,0,8
9,-119,123,0,62
5,-120,123,0,44
6,-120,123,0,24
7,-120,123,0,29
8,-120,123,0,15
9,-120,123,0,62
5,-121,123,0,44
6,-121,123,0,24
7,-121,123,0,29
8,-121,123,0,32
9,-121,123,0,62
5,-122,123,0,44
6,-122,123,0,24
7,-122,123,0,29
8,-122,123,0,35
9,-122,123,0,62
5,-123,123,0,45
6,-123,123,0,24
7,-123,123,0,29
8,-123,123,0,35
9,-123,123,0,29
5,-124,123,0,45
6,-124,123,0,24
7,-124,123,0,29
8,-124,123,0,35
9,-124,123,0,29
5,-125,123,0,45
6,-125,123,0,24
7,-125,123,0,29
8,-125,123,0,37
9,-125,123,0,29
5,-126,123,0,48
6,-126,123,0,24
7,-126,123,0,29
8,-126,123,0,37
9,-126,123,0,29
5,-127,123,0,50
6,-127,123,0,24
7,-127,123,0,29
8,-127,123,0,37
9,-127,123,0,29
5,-128,123,0,53
6,-128,123,0,24
7,-128,123,0,29
8,-128,123,0,41
9,-128,123,0,29
5,-129,123,0,53
6,-129,123,0,28
7,-129,123,0,30
8,-129,123,0,41
9,-129,123,0,29
5,-130,123,0,68
6,-130,123,0,28
7,-130,123,0,30
8,-130,123,0,41
9,-130,123,0,18
5,-131,123,0,145
6,-131,123,0,28
7,-131,123,0,30
8,-131,123,0,41
9,-131,123,0,18
5,-132,123,0,NA
6,-132,123,0,29
7,-132,123,0,30
8,-132,123,0,41
9,-132,123,0,18
5,-133,123,0,NA
6,-133,123,0,29
7,-133,123,0,30
8,-133,123,0,41
9,-133,123,0,18
5,-134,123,0,NA
6,-134,123,0,29
7,-134,123,0,30
8,-134,123,0,41
9,-134,123,0,26
5,-135,123,0,NA
6,-135,123,0,29
7,-135,123,0,30
8,-135,123,0,41
9,-135,123,0,26
5,-136,123,0,NA
6,-136,123,0,29
7,-136,123,0,30
8,-136,123,0,41
9,-136,123,0,27
5,-137,123,0,NA
6,-137,123,0,30
7,-137,123,0,30
8,-137,123,0,41
9,-137,123,0,27
5,-138,123,0,NA
6,-138,123,0,30
7,-138,123,0,30
8,-138,123,0,41
9,-138,123,0,27
5,-139,123,0,NA
6,-139,123,0,30
7,-139,123,0,31
8,-139,123,0,41
9,-139,123,0,27
5,-140,123,0,NA
6,-140,123,0,30
7,-140,123,0,31
8,-140,123,0,41
9,-140,123,0,29
5,-141,123,0,NA
6,-141,123,0,30
7,-141,123,0,31
8,-141,123,0,41
9,-141,123,0,29
5,-142,123,0,NA
6,-142,123,0,30
7,-142,123,0,31
8,-142,123,0,41
9,-142,123,0,29
5,-143,123,0,NA
6,-143,123,0,30
7,-143,123,0,31
8,-143,123,0,41
9,-143,123,0,34
5,-144,123,0,NA
6,-144,123,0,30
7,-144,123,0,31
8,-144,123,0,41
9,-144,123,0,34
5,-145,123,0,NA
6,-145,123,0,33
7,-145,123,0,31
8,-145,123,0,41
9,-145,123,0,47
5,-146,123,0,NA
6,-146,123,0,33
7,-146,123,0,32
8,-146,123,0,41
9,-146,123,0,50
5,-147,123,0,NA
6,-147,123,0,33
7,-147,123,0,32
8,-147,123,0,41
9,-147,123,0,50
5,-148,123,0,NA
6,-148,123,0,34
7,-148,123,0,32
8,-148,123,0,41
9,-148,123,0,50
5,-149,123,0,NA
6,-149,123,0,34
7,-149,123,0,32
8,-149,123,0,41
9,-149,123,0,51
5,-150,123,0,NA
6,-150,123,0,34
7,-150,123,0,33
8,-150,123,0,41
9,-150,123,0,51
5,-90,124,0,12
6,-90,124,0,16
7,-90,124,0,19
8,-90,124,0,69
9,-90,124,0,70
5,-91,124,0,12
6,-91,124,0,16
7,-91,124,0,19
8,-91,124,0,69
9,-91,124,0,70
5,-92,124,0,12
6,-92,124,0,16
7,-92,124,0,19
8,-92,124,0,68
9,-92,124,0,70
5,-93,124,0,12
6,-93,124,0,16
7,-93,124,0,9
8,-93,124,0,68
9,-93,124,0,70
5,-94,124,0,19
6,-94,124,0,16
7,-94,124,0,9
8,-94,124,0,68
9,-94,124,0,68
5,-95,124,0,21
6,-95,124,0,16
7,-95,124,0,9
8,-95,124,0,68
9,-95,124,0,68
5,-96,124,0,21
