"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.1,32,48,64,10,83,0.326,0.929,0.116
"dart",0.01,32,48,64,10,102,0.551,0.877,0.185
"gbdt",0.01,32,48,64,10,247,0.377,0.919,0.152
"dart",0.1,128,24,64,10,97,0.323,0.931,0.125
"gbdt",0.1,128,24,64,10,44,0.318,0.931,0.122
"dart",0.01,128,24,64,10,280,0.469,0.911,0.15
"gbdt",0.01,128,24,64,10,300,0.327,0.93,0.126
"dart",0.1,64,24,64,10,199,0.321,0.928,0.126
"gbdt",0.1,64,24,64,10,46,0.326,0.929,0.133
"dart",0.01,64,24,64,10,150,0.52,0.894,0.167
"gbdt",0.01,64,24,64,10,205,0.348,0.926,0.134
"dart",0.1,32,24,64,10,101,0.337,0.925,0.132
"gbdt",0.1,32,24,64,10,37,0.336,0.924,0.126
"dart",0.01,32,24,64,10,212,0.513,0.898,0.158
"gbdt",0.01,32,24,64,10,159,0.366,0.921,0.137
