"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.001,25,15,20,6,0.671,0.899,0.404
"gbdt",0.001,25,15,20,6,0.672,0.903,0.404
"dart",0.1,15,15,20,11,0.417,0.92,0.135
"gbdt",0.1,15,15,20,11,0.392,0.917,0.131
"dart",0.01,15,15,20,6,0.644,0.902,0.404
"gbdt",0.01,15,15,20,6,0.643,0.901,0.404
"dart",0.001,15,15,20,6,0.671,0.899,0.404
"gbdt",0.001,15,15,20,6,0.671,0.906,0.404
"dart",0.1,125,15,20,16,0.367,0.929,0.129
"gbdt",0.1,125,15,20,20,0.326,0.93,0.13
"dart",0.01,125,15,20,6,0.643,0.902,0.404
"gbdt",0.01,125,15,20,6,0.643,0.903,0.404
"dart",0.001,125,15,20,6,0.672,0.906,0.404
"gbdt",0.001,125,15,20,6,0.672,0.899,0.404
"dart",0.1,75,15,20,18,0.365,0.926,0.131
"gbdt",0.1,75,15,20,12,0.376,0.923,0.136
"dart",0.01,75,15,20,6,0.642,0.904,0.404
"gbdt",0.01,75,15,20,6,0.642,0.907,0.404
"dart",0.001,75,15,20,6,0.671,0.904,0.404
"gbdt",0.001,75,15,20,6,0.671,0.907,0.404
"dart",0.1,250,15,20,9,0.423,0.923,0.135
"gbdt",0.1,250,15,20,15,0.347,0.93,0.126
"dart",0.01,250,15,20,6,0.643,0.903,0.404
"gbdt",0.01,250,15,20,6,0.643,0.906,0.404
"dart",0.001,250,15,20,6,0.672,0.903,0.404
"gbdt",0.001,250,15,20,6,0.671,0.904,0.404
"dart",0.1,255,20,20,18,0.358,0.933,0.125
"gbdt",0.1,255,20,20,30,0.301,0.934,0.127
"dart",0.01,255,20,20,6,0.642,0.903,0.404
"gbdt",0.01,255,20,20,6,0.641,0.914,0.404
"dart",0.001,255,20,20,6,0.671,0.908,0.404
"gbdt",0.001,255,20,20,6,0.671,0.906,0.404
"dart",0.1,25,20,20,18,0.357,0.927,0.128
"gbdt",0.1,25,20,20,16,0.344,0.925,0.129
"dart",0.01,25,20,20,6,0.641,0.903,0.404
"gbdt",0.01,25,20,20,6,0.642,0.903,0.404
"dart",0.001,25,20,20,6,0.672,0.906,0.404
"gbdt",0.001,25,20,20,6,0.672,0.905,0.404
"dart",0.1,15,20,20,9,0.424,0.92,0.133
"gbdt",0.1,15,20,20,8,0.423,0.917,0.131
"dart",0.01,15,20,20,6,0.641,0.91,0.404
"gbdt",0.01,15,20,20,6,0.642,0.909,0.404
"dart",0.001,15,20,20,6,0.672,0.899,0.404
"gbdt",0.001,15,20,20,6,0.671,0.914,0.404
"dart",0.1,125,20,20,16,0.365,0.93,0.13
"gbdt",0.1,125,20,20,20,0.326,0.929,0.127
"dart",0.01,125,20,20,6,0.642,0.91,0.404
"gbdt",0.01,125,20,20,6,0.642,0.915,0.404
"dart",0.001,125,20,20,6,0.671,0.906,0.404
"gbdt",0.001,125,20,20,6,0.671,0.904,0.404
"dart",0.1,75,20,20,18,0.357,0.932,0.124
