"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.01,75,31,15,824,0.383,0.905,0.166
"gbdt",0.01,75,31,15,6,0.648,0.872,0.408
"dart",0.001,75,31,15,999,0.567,0.882,0.174
"gbdt",0.001,75,31,15,6,0.678,0.836,0.408
"dart",1e-04,75,31,15,999,0.674,0.824,0.345
"gbdt",1e-04,75,31,15,6,0.678,0.835,0.408
"dart",0.1,25,31,15,67,0.379,0.908,0.163
"gbdt",0.1,25,31,15,15,0.401,0.904,0.183
"dart",0.01,25,31,15,869,0.378,0.907,0.167
"gbdt",0.01,25,31,15,6,0.643,0.88,0.408
"dart",0.001,25,31,15,999,0.571,0.863,0.181
"gbdt",0.001,25,31,15,6,0.676,0.869,0.408
"dart",1e-04,25,31,15,999,0.673,0.858,0.328
"gbdt",1e-04,25,31,15,6,0.677,0.818,0.408
"dart",0.1,255,51,15,33,0.418,0.892,0.175
"gbdt",0.1,255,51,15,21,0.426,0.885,0.183
"dart",0.01,255,51,15,688,0.43,0.88,0.181
"gbdt",0.01,255,51,15,6,0.648,0.819,0.408
"dart",0.001,255,51,15,999,0.586,0.808,0.217
"gbdt",0.001,255,51,15,6,0.675,0.834,0.408
"dart",1e-04,255,51,15,999,0.675,0.79,0.3
"gbdt",1e-04,255,51,15,6,0.677,0.819,0.408
"dart",0.1,300,51,15,28,0.43,0.881,0.197
"gbdt",0.1,300,51,15,8,0.48,0.852,0.208
"dart",0.01,300,51,15,604,0.467,0.854,0.208
"gbdt",0.01,300,51,15,6,0.648,0.803,0.408
"dart",0.001,300,51,15,999,0.571,0.826,0.183
"gbdt",0.001,300,51,15,6,0.674,0.823,0.408
"dart",1e-04,300,51,15,999,0.674,0.797,0.261
"gbdt",1e-04,300,51,15,6,0.677,0.797,0.408
"dart",0.1,125,51,15,32,0.441,0.878,0.203
"gbdt",0.1,125,51,15,14,0.436,0.872,0.195
"dart",0.01,125,51,15,676,0.438,0.877,0.189
"gbdt",0.01,125,51,15,6,0.644,0.83,0.408
"dart",0.001,125,51,15,999,0.571,0.857,0.189
"gbdt",0.001,125,51,15,6,0.674,0.807,0.408
"dart",1e-04,125,51,15,999,0.674,0.836,0.252
"gbdt",1e-04,125,51,15,6,0.677,0.835,0.408
"dart",0.1,75,51,15,29,0.454,0.86,0.202
"gbdt",0.1,75,51,15,18,0.43,0.871,0.183
"dart",0.01,75,51,15,783,0.429,0.885,0.173
"gbdt",0.01,75,51,15,6,0.647,0.844,0.408
"dart",0.001,75,51,15,999,0.577,0.837,0.211
"gbdt",0.001,75,51,15,6,0.673,0.842,0.408
"dart",1e-04,75,51,15,999,0.673,0.835,0.284
"gbdt",1e-04,75,51,15,6,0.676,0.799,0.408
"dart",0.1,25,51,15,42,0.411,0.898,0.17
"gbdt",0.1,25,51,15,18,0.429,0.887,0.194
"dart",0.01,25,51,15,655,0.431,0.879,0.181
"gbdt",0.01,25,51,15,6,0.646,0.864,0.408
"dart",0.001,25,51,15,999,0.569,0.875,0.191
