"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.01,15,20,15,996,0.368,0.907,0.155
"gbdt",0.01,15,20,15,6,0.646,0.889,0.408
"dart",0.001,15,20,15,999,0.572,0.892,0.187
"gbdt",0.001,15,20,15,6,0.678,0.878,0.408
"dart",1,255,31,15,1,0.503,0.818,0.208
"gbdt",1,255,31,15,1,0.491,0.821,0.197
"dart",0.1,255,31,15,49,0.395,0.904,0.177
"gbdt",0.1,255,31,15,23,0.402,0.894,0.177
"dart",0.01,255,31,15,798,0.396,0.899,0.169
"gbdt",0.01,255,31,15,6,0.645,0.877,0.408
"dart",0.001,255,31,15,999,0.574,0.872,0.195
"gbdt",0.001,255,31,15,6,0.673,0.827,0.408
"dart",1,125,31,15,1,0.478,0.822,0.183
"gbdt",1,125,31,15,1,0.459,0.847,0.183
"dart",0.1,125,31,15,55,0.408,0.897,0.186
"gbdt",0.1,125,31,15,20,0.412,0.896,0.172
"dart",0.01,125,31,15,961,0.411,0.89,0.191
"gbdt",0.01,125,31,15,6,0.645,0.875,0.408
"dart",0.001,125,31,15,999,0.573,0.876,0.18
"gbdt",0.001,125,31,15,6,0.674,0.847,0.408
"dart",1,25,31,15,1,0.468,0.848,0.189
"gbdt",1,25,31,15,1,0.444,0.858,0.173
"dart",0.1,25,31,15,124,0.378,0.907,0.166
"gbdt",0.1,25,31,15,11,0.432,0.892,0.187
"dart",0.01,25,31,15,964,0.391,0.898,0.175
"gbdt",0.01,25,31,15,6,0.645,0.871,0.408
"dart",0.001,25,31,15,996,0.568,0.886,0.187
"gbdt",0.001,25,31,15,6,0.674,0.869,0.408
"dart",1,15,31,15,1,0.447,0.869,0.177
"gbdt",1,15,31,15,1,0.459,0.84,0.192
"dart",0.1,15,31,15,40,0.39,0.903,0.17
"gbdt",0.1,15,31,15,17,0.392,0.9,0.175
"dart",0.01,15,31,15,822,0.384,0.902,0.177
"gbdt",0.01,15,31,15,6,0.648,0.85,0.408
"dart",0.001,15,31,15,999,0.568,0.89,0.175
"gbdt",0.001,15,31,15,6,0.675,0.867,0.408
"dart",1,255,51,15,1,0.466,0.861,0.184
"gbdt",1,255,51,15,1,0.525,0.86,0.209
"dart",0.1,255,51,15,18,0.445,0.863,0.197
"gbdt",0.1,255,51,15,16,0.429,0.89,0.197
"dart",0.01,255,51,15,661,0.419,0.884,0.184
"gbdt",0.01,255,51,15,6,0.648,0.82,0.408
"dart",0.001,255,51,15,999,0.571,0.838,0.194
"gbdt",0.001,255,51,15,6,0.673,0.83,0.408
"dart",1,125,51,15,1,0.487,0.848,0.189
"gbdt",1,125,51,15,1,0.472,0.864,0.181
"dart",0.1,125,51,15,42,0.413,0.898,0.172
"gbdt",0.1,125,51,15,20,0.42,0.897,0.181
"dart",0.01,125,51,15,762,0.4,0.908,0.174
"gbdt",0.01,125,51,15,6,0.65,0.835,0.408
"dart",0.001,125,51,15,999,0.577,0.837,0.206
"gbdt",0.001,125,51,15,6,0.675,0.81,0.408
"dart",1,25,51,15,1,0.519,0.824,0.213
"gbdt",1,25,51,15,1,0.514,0.834,0.205
"dart",0.1,25,51,15,71,0.414,0.902,0.167
"gbdt",0.1,25,51,15,7,0.46,0.871,0.175
"dart",0.01,25,51,15,931,0.436,0.888,0.183
"gbdt",0.01,25,51,15,6,0.646,0.843,0.408
"dart",0.001,25,51,15,999,0.58,0.835,0.208
"gbdt",0.001,25,51,15,6,0.674,0.821,0.408
"dart",1,15,51,15,1,0.473,0.863,0.189
"gbdt",1,15,51,15,1,0.468,0.862,0.191
"dart",0.1,15,51,15,26,0.425,0.898,0.197
"gbdt",0.1,15,51,15,7,0.47,0.868,0.192
"dart",0.01,15,51,15,701,0.461,0.865,0.208
"gbdt",0.01,15,51,15,6,0.644,0.867,0.408
"dart",0.001,15,51,15,999,0.574,0.861,0.2
"gbdt",0.001,15,51,15,6,0.674,0.838,0.408
"dart",1,255,20,10,1,0.448,0.866,0.184
"gbdt",1,255,20,10,1,0.459,0.86,0.197
"dart",0.1,255,20,10,71,0.403,0.891,0.181
"gbdt",0.1,255,20,10,10,0.439,0.893,0.187
"dart",0.01,255,20,10,902,0.387,0.902,0.177
"gbdt",0.01,255,20,10,6,0.646,0.859,0.408
"dart",0.001,255,20,10,999,0.574,0.868,0.176
"gbdt",0.001,255,20,10,6,0.674,0.844,0.408
"dart",1,125,20,10,1,0.469,0.85,0.188
"gbdt",1,125,20,10,1,0.433,0.883,0.177
"dart",0.1,125,20,10,47,0.378,0.908,0.166
"gbdt",0.1,125,20,10,22,0.37,0.91,0.162
"dart",0.01,125,20,10,897,0.386,0.898,0.183
"gbdt",0.01,125,20,10,6,0.646,0.875,0.408
"dart",0.001,125,20,10,996,0.569,0.9,0.178
"gbdt",0.001,125,20,10,6,0.674,0.871,0.408
"dart",1,25,20,10,1,0.424,0.867,0.166
"gbdt",1,25,20,10,1,0.457,0.839,0.186
"dart",0.1,25,20,10,162,0.349,0.921,0.155
"gbdt",0.1,25,20,10,12,0.419,0.894,0.186
"dart",0.01,25,20,10,974,0.366,0.91,0.159
"gbdt",0.01,25,20,10,6,0.645,0.855,0.408
"dart",0.001,25,20,10,999,0.572,0.883,0.181
"gbdt",0.001,25,20,10,6,0.674,0.867,0.408
"dart",1,15,20,10,2,0.456,0.873,0.2
"gbdt",1,15,20,10,1,0.438,0.877,0.178
"dart",0.1,15,20,10,76,0.366,0.912,0.159
"gbdt",0.1,15,20,10,15,0.385,0.911,0.166
"dart",0.01,15,20,10,998,0.387,0.902,0.192
"gbdt",0.01,15,20,10,6,0.645,0.871,0.408
"dart",0.001,15,20,10,999,0.573,0.885,0.177
"gbdt",0.001,15,20,10,6,0.675,0.862,0.408
"dart",1,255,31,10,1,0.459,0.832,0.18
"gbdt",1,255,31,10,1,0.476,0.834,0.195
"dart",0.1,255,31,10,65,0.398,0.9,0.186
"gbdt",0.1,255,31,10,11,0.417,0.891,0.175
"dart",0.01,255,31,10,945,0.401,0.893,0.169
"gbdt",0.01,255,31,10,6,0.648,0.835,0.408
"dart",0.001,255,31,10,999,0.571,0.87,0.184
"gbdt",0.001,255,31,10,6,0.675,0.862,0.408
"dart",1,125,31,10,1,0.461,0.832,0.181
"gbdt",1,125,31,10,1,0.459,0.828,0.173
"dart",0.1,125,31,10,41,0.389,0.904,0.167
"gbdt",0.1,125,31,10,15,0.395,0.903,0.175
"dart",0.01,125,31,10,850,0.389,0.902,0.173
"gbdt",0.01,125,31,10,6,0.646,0.847,0.408
"dart",0.001,125,31,10,999,0.574,0.854,0.192
"gbdt",0.001,125,31,10,6,0.676,0.832,0.408
"dart",1,25,31,10,1,0.46,0.865,0.184
"gbdt",1,25,31,10,1,0.49,0.84,0.203
"dart",0.1,25,31,10,68,0.378,0.905,0.161
"gbdt",0.1,25,31,10,13,0.424,0.879,0.172
"dart",0.01,25,31,10,791,0.387,0.903,0.167
"gbdt",0.01,25,31,10,6,0.646,0.846,0.408
"dart",0.001,25,31,10,999,0.578,0.859,0.208
"gbdt",0.001,25,31,10,6,0.674,0.839,0.408
"dart",1,15,31,10,1,0.451,0.868,0.188
"gbdt",1,15,31,10,1,0.458,0.836,0.169
"dart",0.1,15,31,10,47,0.372,0.904,0.17
"gbdt",0.1,15,31,10,20,0.412,0.893,0.18
"dart",0.01,15,31,10,806,0.419,0.889,0.192
"gbdt",0.01,15,31,10,6,0.646,0.876,0.408
"dart",0.001,15,31,10,999,0.571,0.877,0.187
"gbdt",0.001,15,31,10,6,0.674,0.837,0.408
"dart",1,255,51,10,1,0.46,0.866,0.177
"gbdt",1,255,51,10,1,0.476,0.853,0.183
"dart",0.1,255,51,10,31,0.426,0.882,0.188
"gbdt",0.1,255,51,10,6,0.485,0.848,0.189
"dart",0.01,255,51,10,931,0.397,0.899,0.172
"gbdt",0.01,255,51,10,6,0.648,0.833,0.408
"dart",0.001,255,51,10,999,0.578,0.846,0.208
"gbdt",0.001,255,51,10,6,0.674,0.844,0.408
"dart",1,125,51,10,1,0.483,0.855,0.183
"gbdt",1,125,51,10,1,0.498,0.861,0.192
"dart",0.1,125,51,10,32,0.452,0.864,0.184
"gbdt",0.1,125,51,10,9,0.457,0.868,0.192
"dart",0.01,125,51,10,960,0.431,0.892,0.194
"gbdt",0.01,125,51,10,6,0.646,0.865,0.408
"dart",0.001,125,51,10,999,0.572,0.838,0.187
"gbdt",0.001,125,51,10,6,0.677,0.826,0.408
"dart",1,25,51,10,1,0.487,0.852,0.203
"gbdt",1,25,51,10,1,0.497,0.858,0.197
"dart",0.1,25,51,10,42,0.424,0.884,0.181
"gbdt",0.1,25,51,10,10,0.44,0.871,0.176
"dart",0.01,25,51,10,931,0.417,0.893,0.183
"gbdt",0.01,25,51,10,6,0.645,0.856,0.408
"dart",0.001,25,51,10,999,0.573,0.856,0.181
"gbdt",0.001,25,51,10,6,0.676,0.847,0.408
"dart",1,15,51,10,1,0.518,0.841,0.211
"gbdt",1,15,51,10,1,0.458,0.865,0.178
"dart",0.1,15,51,10,34,0.431,0.883,0.18
"gbdt",0.1,15,51,10,13,0.417,0.89,0.181
"dart",0.01,15,51,10,684,0.428,0.872,0.177
"gbdt",0.01,15,51,10,6,0.647,0.853,0.408
"dart",0.001,15,51,10,999,0.574,0.859,0.197
"gbdt",0.001,15,51,10,6,0.673,0.842,0.408
