id,latitude,longitude,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
GME00121846,54.3008,9.3169,18,,ERFDE,,,TMAX,1964,2022
GME00121882,49.6506,11.0083,268,,MOHRENDORF-KLEINSEEBACH,,,TMAX,1949,2022
GME00121930,51.1844,10.065,170,,ESCHWEGE,,,TMAX,1948,2022
GME00121954,53.6881,13.2631,30,,ALTENTREPTOW,,,PRCP,1890,2022
GME00121966,51.2553,8.1569,351,,ESLOHE,,,TMAX,1938,2022
GME00121978,51.4056,6.9683,150,,ESSEN-BREDENEY,,,TMAX,1935,2022
GME00121990,51.0892,12.9342,296,,ALTGERINGSWALDE,,,TMAX,2004,2022
GME00122002,50.7131,6.7917,146,,WEILERSWIST-LOMMERSUM,,,TMAX,1937,2022
GME00122038,48.4842,12.7256,472,,KR.ROTTAL-INN FALKENBERG,,,TMAX,1966,2022
GME00122050,52.9192,10.1839,73,,FASSBERG,,,PRCP,2001,2022
GME00122086,49.9817,11.8392,657,,FICHTELBERG/OBERFRANKEN-HUTTST,,,TMAX,1948,2022
GME00122098,51.51,6.7019,25,,DUISBURG-BAERL,,,TMAX,2007,2022
GME00122122,52.0831,9.4081,77,,HAMELN-HASTENBECK,,,TMAX,2007,2022
GME00122134,51.5981,7.4056,68,,WALTROP-ABDINGHOF,,,TMAX,2007,2022
GME00122146,51.3342,7.3417,205,,GEVELSBERG-OBERBROKING,,,TMAX,2008,2022
GME00122158,48.5742,12.2589,490,,LANDSHUT-REITHOF,,,TMAX,2008,2022
GME00122170,50.6825,11.5164,280,,ROCKENDORF,,,TMAX,2007,2022
GME00122182,51.0908,7.6294,380,,MEINERZHAGEN-REDLENDORF,,,TMAX,2007,2022
GME00122194,50.5058,10.1681,363,,FLADUNGEN-HEUFURT,,,PRCP,1931,2022
GME00122218,52.2478,10.9603,110,,HELMSTEDT-EMMERSTEDT,,,TMAX,2008,2022
GME00122290,49.7328,12.3506,622,,FLOSSENBURG,,,PRCP,1987,2022
GME00122326,50.5317,10.0492,745,,BIRX/RHON,,,TMAX,1949,2022
GME00122362,50.1281,8.6703,124,,FRANKFURT/MAIN-WESTEND,,,TMAX,1985,2022
GME00122386,52.3653,14.5378,48,,FRANKFURT/ODER,,,PRCP,1951,2022
GME00122410,48.4067,11.3131,510,,ALTOMUNSTER-MAISBRUNN,,,TMAX,1955,2022
GME00122422,50.1517,6.5531,530,,HERSDORF-WEISSENSEIFEN,,,PRCP,1961,2022
GME00122434,48.2028,7.9342,481,,FREIAMT-OTTOSCHWANDEN,,,PRCP,1971,2022
GME00122446,50.9281,13.3389,380,,FREIBERG,,,PRCP,1945,2022
GME00122458,48.0242,7.8353,236,,FREIBURG,,,TMAX,1881,2022
GME00122482,53.8292,9.2494,2,,FREIBURG/ELBE,,,TMAX,1970,2022
GME00122494,49.1792,11.375,436,,FREYSTADT-OBERNDORF,,,PRCP,1941,2022
GME00122542,53.0894,7.9425,8,,FRIESOYTHE-EDEWECHTERDAM,,,TMAX,1947,2022
GME00122566,49.7281,8.1167,215,,ALZEY,,,TMAX,1951,2022
GME00122602,49.47,11.8558,383,,AMBERG-UNTERAMMERSRICHT,,,TMAX,1947,2022
GME00122626,50.5344,9.6758,255,,FULDA,,,TMAX,1949,2022
GME00122638,52.5142,11.3978,47,,GARDELEGEN,,,TMAX,1947,2022
GME00122650,48.0206,12.2939,515,,AMERANG-PFAFFING,,,TMAX,1994,2022
GME00122698,49.985,7.9544,110,,GEISENHEIM,,,TMAX,1884,2022
GME00122710,47.925,8.6481,672,,GEISINGEN,,,TMAX,2009,2022
GME00122734,48.9489,11.43,536,,GELBELSEE,,,TMAX,1998,2022
GME00122746,51.4956,6.2467,37,,GELDERN-WALBECK,,,TMAX,1963,2022
GME00122770,48.4339,7.9933,176,,OHLSBACH,,,TMAX,1970,2022
GME00122782,52.3892,12.1633,35,,GENTHIN,,,TMAX,1953,2022
GME00122806,49.7725,8.5306,96,,GERNSHEIM-ALLMENDFELD,,,PRCP,1941,2022
GME00122818,50.2778,9.9156,550,,GERODA-PLATZ,,,PRCP,1949,2022
GME00122842,50.9664,9.0503,340,,GILSERBERG-MOISCHEID,,,TMAX,1949,2022
GME00122854,54.8489,9.5081,27,,GLUCKSBURG-MEIERWIK,,,PRCP,1988,2022
