"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.01,500,40,100,10,11,0.633,0.9,0.407
"gbdt",0.01,500,40,100,10,11,0.625,0.905,0.407
"dart",0.1,125,40,100,10,36,0.339,0.924,0.136
"gbdt",0.1,125,40,100,10,40,0.308,0.929,0.131
"dart",0.01,125,40,100,10,11,0.633,0.899,0.407
"gbdt",0.01,125,40,100,10,11,0.624,0.901,0.407
"dart",0.1,255,10,100,10,44,0.317,0.927,0.122
"gbdt",0.1,255,10,100,10,32,0.301,0.932,0.125
"dart",0.01,255,10,100,10,11,0.627,0.906,0.407
"gbdt",0.01,255,10,100,10,11,0.618,0.9,0.407
"dart",0.1,1800,10,100,10,18,0.355,0.929,0.134
"gbdt",0.1,1800,10,100,10,29,0.307,0.928,0.128
"dart",0.01,1800,10,100,10,11,0.628,0.902,0.407
"gbdt",0.01,1800,10,100,10,11,0.618,0.904,0.407
"dart",0.1,500,10,100,10,45,0.311,0.929,0.124
"gbdt",0.1,500,10,100,10,35,0.303,0.929,0.128
"dart",0.01,500,10,100,10,11,0.627,0.914,0.407
"gbdt",0.01,500,10,100,10,11,0.617,0.911,0.407
"dart",0.1,125,10,100,10,47,0.311,0.933,0.125
"gbdt",0.1,125,10,100,10,36,0.302,0.932,0.122
"dart",0.01,125,10,100,10,11,0.627,0.909,0.407
"gbdt",0.01,125,10,100,10,11,0.619,0.899,0.407
"dart",0.1,255,20,31,30,62,0.313,0.928,0.127
"gbdt",0.1,255,20,31,30,39,0.305,0.93,0.125
"dart",0.01,255,20,31,30,11,0.63,0.909,0.407
"gbdt",0.01,255,20,31,30,11,0.62,0.908,0.407
"dart",0.1,1800,20,31,30,50,0.322,0.927,0.129
"gbdt",0.1,1800,20,31,30,37,0.311,0.926,0.133
"dart",0.01,1800,20,31,30,11,0.63,0.903,0.407
"gbdt",0.01,1800,20,31,30,11,0.621,0.902,0.407
"dart",0.1,500,20,31,30,50,0.324,0.927,0.131
"gbdt",0.1,500,20,31,30,38,0.309,0.927,0.127
"dart",0.01,500,20,31,30,11,0.63,0.907,0.407
"gbdt",0.01,500,20,31,30,11,0.62,0.914,0.407
"dart",0.1,125,20,31,30,47,0.323,0.927,0.131
"gbdt",0.1,125,20,31,30,36,0.307,0.928,0.131
"dart",0.01,125,20,31,30,11,0.631,0.902,0.407
"gbdt",0.01,125,20,31,30,11,0.621,0.899,0.407
"dart",0.1,255,40,31,30,26,0.374,0.923,0.134
"gbdt",0.1,255,40,31,30,46,0.307,0.928,0.128
"dart",0.01,255,40,31,30,11,0.634,0.899,0.407
"gbdt",0.01,255,40,31,30,11,0.624,0.902,0.407
"dart",0.1,1800,40,31,30,35,0.347,0.922,0.135
"gbdt",0.1,1800,40,31,30,39,0.309,0.926,0.132
"dart",0.01,1800,40,31,30,11,0.632,0.908,0.407
"gbdt",0.01,1800,40,31,30,11,0.623,0.906,0.407
"dart",0.1,500,40,31,30,36,0.345,0.922,0.133
"gbdt",0.1,500,40,31,30,36,0.301,0.932,0.128
"dart",0.01,500,40,31,30,11,0.634,0.9,0.407
"gbdt",0.01,500,40,31,30,11,0.624,0.904,0.407
"dart",0.1,125,40,31,30,31,0.357,0.924,0.135
"gbdt",0.1,125,40,31,30,34,0.312,0.927,0.128
"dart",0.01,125,40,31,30,11,0.633,0.902,0.407
"gbdt",0.01,125,40,31,30,11,0.624,0.906,0.407
"dart",0.1,255,10,31,30,45,0.312,0.929,0.127
"gbdt",0.1,255,10,31,30,34,0.3,0.93,0.12
"dart",0.01,255,10,31,30,11,0.628,0.909,0.407
"gbdt",0.01,255,10,31,30,11,0.619,0.905,0.407
"dart",0.1,1800,10,31,30,47,0.315,0.93,0.127
"gbdt",0.1,1800,10,31,30,36,0.302,0.928,0.128
"dart",0.01,1800,10,31,30,11,0.628,0.911,0.407
"gbdt",0.01,1800,10,31,30,11,0.618,0.917,0.407
"dart",0.1,500,10,31,30,47,0.31,0.93,0.124
"gbdt",0.1,500,10,31,30,30,0.299,0.931,0.123
"dart",0.01,500,10,31,30,11,0.628,0.906,0.407
"gbdt",0.01,500,10,31,30,11,0.619,0.905,0.407
"dart",0.1,125,10,31,30,50,0.313,0.93,0.126
"gbdt",0.1,125,10,31,30,37,0.299,0.934,0.13
"dart",0.01,125,10,31,30,11,0.629,0.905,0.407
"gbdt",0.01,125,10,31,30,11,0.619,0.905,0.407
"dart",0.1,255,20,60,30,47,0.321,0.927,0.128
"gbdt",0.1,255,20,60,30,38,0.307,0.928,0.125
"dart",0.01,255,20,60,30,11,0.631,0.904,0.407
"gbdt",0.01,255,20,60,30,11,0.621,0.902,0.407
"dart",0.1,1800,20,60,30,73,0.306,0.931,0.124
"gbdt",0.1,1800,20,60,30,40,0.3,0.934,0.125
"dart",0.01,1800,20,60,30,11,0.63,0.904,0.407
"gbdt",0.01,1800,20,60,30,11,0.621,0.905,0.407
"dart",0.1,500,20,60,30,18,0.377,0.918,0.141
"gbdt",0.1,500,20,60,30,35,0.308,0.928,0.13
"dart",0.01,500,20,60,30,11,0.629,0.913,0.407
"gbdt",0.01,500,20,60,30,11,0.62,0.905,0.407
"dart",0.1,125,20,60,30,47,0.321,0.925,0.13
"gbdt",0.1,125,20,60,30,37,0.309,0.93,0.124
"dart",0.01,125,20,60,30,11,0.63,0.913,0.407
"gbdt",0.01,125,20,60,30,11,0.621,0.902,0.407
"dart",0.1,255,40,60,30,47,0.328,0.928,0.134
"gbdt",0.1,255,40,60,30,40,0.309,0.925,0.126
"dart",0.01,255,40,60,30,11,0.634,0.905,0.407
"gbdt",0.01,255,40,60,30,11,0.624,0.907,0.407
"dart",0.1,1800,40,60,30,47,0.332,0.921,0.132
"gbdt",0.1,1800,40,60,30,44,0.309,0.925,0.129
"dart",0.01,1800,40,60,30,11,0.632,0.906,0.407
"gbdt",0.01,1800,40,60,30,11,0.624,0.906,0.407
"dart",0.1,500,40,60,30,18,0.377,0.923,0.139
"gbdt",0.1,500,40,60,30,38,0.31,0.926,0.133
"dart",0.01,500,40,60,30,11,0.634,0.893,0.407
"gbdt",0.01,500,40,60,30,11,0.624,0.9,0.407
"dart",0.1,125,40,60,30,27,0.37,0.92,0.136
"gbdt",0.1,125,40,60,30,44,0.309,0.927,0.13
"dart",0.01,125,40,60,30,11,0.632,0.907,0.407
"gbdt",0.01,125,40,60,30,11,0.624,0.896,0.407
"dart",0.1,255,10,60,30,31,0.339,0.929,0.134
"gbdt",0.1,255,10,60,30,33,0.317,0.927,0.129
"dart",0.01,255,10,60,30,11,0.627,0.904,0.407
"gbdt",0.01,255,10,60,30,11,0.618,0.9,0.407
"dart",0.1,1800,10,60,30,40,0.325,0.927,0.127
"gbdt",0.1,1800,10,60,30,32,0.307,0.931,0.125
"dart",0.01,1800,10,60,30,11,0.627,0.901,0.407
"gbdt",0.01,1800,10,60,30,11,0.617,0.909,0.407
"dart",0.1,500,10,60,30,35,0.328,0.929,0.128
"gbdt",0.1,500,10,60,30,29,0.309,0.929,0.131
"dart",0.01,500,10,60,30,11,0.628,0.903,0.407
"gbdt",0.01,500,10,60,30,11,0.617,0.909,0.407
"dart",0.1,125,10,60,30,50,0.32,0.927,0.133
"gbdt",0.1,125,10,60,30,31,0.302,0.932,0.125
"dart",0.01,125,10,60,30,11,0.626,0.915,0.407
"gbdt",0.01,125,10,60,30,11,0.617,0.909,0.407
"dart",0.1,255,20,100,30,18,0.37,0.922,0.147
"gbdt",0.1,255,20,100,30,36,0.307,0.928,0.129
"dart",0.01,255,20,100,30,11,0.63,0.904,0.407
"gbdt",0.01,255,20,100,30,11,0.62,0.906,0.407
"dart",0.1,1800,20,100,30,30,0.366,0.917,0.143
"gbdt",0.1,1800,20,100,30,36,0.315,0.924,0.131
"dart",0.01,1800,20,100,30,11,0.629,0.907,0.407
"gbdt",0.01,1800,20,100,30,11,0.62,0.901,0.407
"dart",0.1,500,20,100,30,36,0.34,0.921,0.139
"gbdt",0.1,500,20,100,30,34,0.31,0.928,0.133
"dart",0.01,500,20,100,30,11,0.63,0.915,0.407
"gbdt",0.01,500,20,100,30,11,0.621,0.907,0.407
"dart",0.1,125,20,100,30,56,0.322,0.929,0.138
"gbdt",0.1,125,20,100,30,34,0.308,0.93,0.128
"dart",0.01,125,20,100,30,11,0.63,0.903,0.407
"gbdt",0.01,125,20,100,30,11,0.622,0.901,0.407
"dart",0.1,255,40,100,30,27,0.365,0.922,0.137
"gbdt",0.1,255,40,100,30,31,0.311,0.929,0.13
"dart",0.01,255,40,100,30,11,0.633,0.901,0.407
"gbdt",0.01,255,40,100,30,11,0.624,0.901,0.407
"dart",0.1,1800,40,100,30,35,0.344,0.923,0.132
"gbdt",0.1,1800,40,100,30,32,0.312,0.927,0.132
"dart",0.01,1800,40,100,30,11,0.632,0.905,0.407
"gbdt",0.01,1800,40,100,30,11,0.624,0.904,0.407
"dart",0.1,500,40,100,30,57,0.32,0.929,0.133
"gbdt",0.1,500,40,100,30,34,0.311,0.928,0.128
"dart",0.01,500,40,100,30,11,0.633,0.903,0.407
"gbdt",0.01,500,40,100,30,11,0.625,0.9,0.407
"dart",0.1,125,40,100,30,27,0.365,0.926,0.135
"gbdt",0.1,125,40,100,30,32,0.308,0.931,0.134
"dart",0.01,125,40,100,30,11,0.633,0.894,0.407
"gbdt",0.01,125,40,100,30,11,0.623,0.903,0.407
"dart",0.1,255,10,100,30,35,0.334,0.925,0.141
"gbdt",0.1,255,10,100,30,32,0.305,0.933,0.12
"dart",0.01,255,10,100,30,11,0.628,0.899,0.407
"gbdt",0.01,255,10,100,30,11,0.617,0.905,0.407
"dart",0.1,1800,10,100,30,45,0.32,0.927,0.134
"gbdt",0.1,1800,10,100,30,31,0.316,0.927,0.128
"dart",0.01,1800,10,100,30,11,0.629,0.896,0.407
"gbdt",0.01,1800,10,100,30,11,0.616,0.906,0.407
"dart",0.1,500,10,100,30,47,0.31,0.93,0.127
"gbdt",0.1,500,10,100,30,29,0.315,0.927,0.131
"dart",0.01,500,10,100,30,11,0.627,0.905,0.407
"gbdt",0.01,500,10,100,30,11,0.618,0.904,0.407
"dart",0.1,125,10,100,30,60,0.305,0.932,0.125
"gbdt",0.1,125,10,100,30,28,0.308,0.93,0.133
"dart",0.01,125,10,100,30,11,0.626,0.915,0.407
"gbdt",0.01,125,10,100,30,11,0.618,0.904,0.407
